baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_00829	17739.7575646107	-2.5217240565814	0.0521211267234409	-48.381994310328	0	0
EJCDLKNP_00281	1671.37060703525	-2.50999415630177	0.0902896878309009	-27.799344715895	4.41756597657455e-170	3.69648139098327e-169
EJCDLKNP_02057	80.3909160697417	-2.5029893915995	0.27274076892247	-9.17717362713386	4.42554371618564e-20	9.81856227726858e-20
EJCDLKNP_01511	74542.8468326308	-2.49913309906013	0.0584993400207275	-42.7207058776155	0	0
EJCDLKNP_02894	974.571816053843	-2.49351016981234	0.100428195411545	-24.8287859758324	4.38353491249255e-136	3.0766679619457e-135
EJCDLKNP_02695	5327.43619106184	-2.49115225191638	0.085473539015823	-29.1453036881416	9.58107615850895e-187	8.59150829258534e-186
EJCDLKNP_00526	585.863358814168	-2.48030916116709	0.134859044840882	-18.3918636239309	1.52641783476548e-75	6.74317525828749e-75
EJCDLKNP_01499	36739.216197199	-2.47309113605904	0.0594539415373117	-41.5967566171706	0	0
EJCDLKNP_01090	9597.58772332541	-2.4644640196258	0.0594131976063349	-41.4800771363133	0	0
EJCDLKNP_02450	9.22816878536116	-2.46154125858787	0.824278285762748	-2.98629880357709	0.00282376582346069	0.00393258810091605
EJCDLKNP_01084	1208.3026571948	-2.4603948031063	0.0950569937864123	-25.8833643386058	1.02516645411618e-147	7.60395068682717e-147
EJCDLKNP_00553	11951.7583052979	-2.4543166232868	0.0816175419000032	-30.0709451197856	1.16244390178161e-198	1.13745325112441e-197
EJCDLKNP_02112	74289.2939062593	-2.44462089794127	0.0598715796791797	-40.8310739593093	0	0
EJCDLKNP_02769	412.871505149638	-2.44088253934309	0.162652382886654	-15.0067431907471	6.63252743428856e-51	2.30603152923644e-50
EJCDLKNP_00831	13580.9753076217	-2.42331571069593	0.0574655881440845	-42.1698583266895	0	0
EJCDLKNP_00680	1700.38577359527	-2.42124456827083	0.0768435559051654	-31.5087522922411	6.59131799999236e-218	7.17402872173081e-217
EJCDLKNP_01903	12473.419113264	-2.42116146465587	0.070509773999087	-34.3379552554972	2.13076154511588e-258	2.70076273482198e-257
EJCDLKNP_01934	2465.44736357507	-2.39653322485037	0.0775406252812789	-30.9068080913319	9.67615247834896e-210	1.00927645989445e-208
EJCDLKNP_01501	49431.8678224466	-2.39516019526605	0.0696453808417773	-34.3907975850897	3.46127051686713e-259	4.4245347373059e-258
EJCDLKNP_00827	16918.6727922939	-2.39336556706281	0.0563359556045796	-42.4838017102571	0	0
EJCDLKNP_01520	102598.209448395	-2.39249814633715	0.0768877064268578	-31.116783911523	1.42810784275217e-212	1.51057604212236e-211
EJCDLKNP_00357	960.010017188164	-2.38596639214348	0.0997670708092786	-23.9153697987651	2.11956711308683e-126	1.37520077920364e-125
EJCDLKNP_00367	8209.28487122797	-2.37994598018815	0.0621823324700568	-38.2736685108135	0	0
EJCDLKNP_02494	166.543190321433	-2.37964078217336	0.193424547236816	-12.3026824473312	8.7615310675794e-35	2.46438570477608e-34
EJCDLKNP_01518	38860.5269846141	-2.35602937833291	0.0522423866770278	-45.0980425702663	0	0
EJCDLKNP_02066	8432.85421749831	-2.35004170327511	0.0601822790088058	-39.0487323175524	0	0
EJCDLKNP_01500	96098.1986535005	-2.34887676897502	0.0770181293442806	-30.4977125382422	2.79437547212643e-204	2.80745950443739e-203
EJCDLKNP_01509	53317.4790977239	-2.34551924308391	0.0530953421757111	-44.1756121529788	0	0
EJCDLKNP_00663	13652.8165185571	-2.34311328132349	0.0581962434895481	-40.2622770960175	0	0
EJCDLKNP_00205	6199.75362420243	-2.3415084765073	0.0627452646619482	-37.317692245345	8.47737137816807e-305	1.30594992923164e-303
EJCDLKNP_01950	71.7447191923644	-2.33633494039104	0.286265848310164	-8.16141692829408	3.31117080961329e-16	6.8598324910885e-16
EJCDLKNP_00550	5750.14954158967	-2.33600054492809	0.0619688854453793	-37.6963459668335	0	0
EJCDLKNP_01489	69290.3258253604	-2.32735403126833	0.0526817919501752	-44.1775791049299	0	0
EJCDLKNP_00492	8480.27276163231	-2.31806041498166	0.0665964435716662	-34.8075706548374	1.86845568575173e-265	2.44036559999922e-264
EJCDLKNP_00412	618.97954072388	-2.31570339655448	0.122905939381831	-18.8412651837785	3.46581329808496e-79	1.599278517273e-78
EJCDLKNP_01567	18575.9025501627	-2.31461288394939	0.0613737747826721	-37.7133864121209	0	0
EJCDLKNP_01666	2595.1937683868	-2.30471340823305	0.0794423798866618	-29.0111324902542	4.76206973914869e-185	4.2575171120246e-184
EJCDLKNP_01521	117741.703979948	-2.3038219011605	0.0589451479364407	-39.08416522501	0	0
EJCDLKNP_02096	3045.80883413308	-2.30279799655228	0.0783416022731208	-29.3943183408999	6.49118763351538e-190	5.92690810063228e-189
EJCDLKNP_01810	3291.09696942945	-2.29836700840949	0.0851942018648443	-26.9779745346487	2.68016526918504e-160	2.13560118531349e-159
EJCDLKNP_01446	13.5556159538788	-2.2979615479109	0.639462227188627	-3.59358449992239	0.000326159807514745	0.000476316996487261
EJCDLKNP_01990	4274.32162570314	-2.29396162850379	0.0763145281618773	-30.059304352087	1.65019269634764e-198	1.60947365578841e-197
EJCDLKNP_01575	52528.3114231073	-2.28306636093105	0.0692055427782409	-32.989646049693	1.14336655944196e-238	1.35223352148175e-237
EJCDLKNP_00883	22447.0798870922	-2.28151218473775	0.0538618824157458	-42.358567551118	0	0
EJCDLKNP_00121	1198.83463782436	-2.28079773260077	0.0989510516517481	-23.0497573752717	1.47916586459033e-117	9.14282768977232e-117
EJCDLKNP_00354	397.239383113977	-2.27814686316595	0.1315101521106	-17.3229733720484	3.15619763793055e-67	1.30775416611633e-66
EJCDLKNP_01280	4.14511660629287	-2.27345383905887	1.14867295201047	-1.97920028941202	0.047793460361661	0.0605531653000547
EJCDLKNP_01532	79.6245073693055	-2.27262308793585	0.270942796436502	-8.38783358637277	4.95182489815683e-17	1.04022951007434e-16
EJCDLKNP_00691	4489.30875413786	-2.27120899192431	0.0726950246081824	-31.2429771386123	2.78094788946545e-214	2.97294215656733e-213
